start,end,CE1,CE2,CR1,SM1,SM2,TM1,XH1,PM1
2900001,2950000,0,1,0,1,1,3,0,1
2950001,3000000,11,12,5,17,15,13,3,12
3000001,3050000,3,1,1,0,2,2,1,0
3050001,3100000,1,3,5,4,1,2,2,2
3100001,3150000,5,6,1,8,8,7,5,2
3150001,3200000,0,0,0,0,0,0,0,0
3200001,3250000,0,0,0,0,0,0,0,0
3250001,3300000,3,2,3,7,4,4,1,6
3300001,3350000,3,1,1,2,1,0,0,3
3350001,3400000,0,0,0,0,0,0,0,0
3400001,3450000,2,4,2,2,2,3,2,2
3450001,3500000,4,18,6,4,0,5,2,4
3500001,3550000,0,3,0,0,0,0,0,0
3550001,3600000,0,6,0,0,0,0,0,3
3600001,3650000,1,1,1,2,1,2,0,1
3650001,3700000,0,0,0,0,0,0,0,0
3700001,3750000,0,0,0,0,0,0,0,0
3750001,3800000,0,0,0,0,0,0,0,0
3800001,3850000,0,0,0,0,0,0,0,0
3850001,3900000,0,5,2,3,3,1,0,1
3900001,3950000,0,3,1,1,0,1,0,0
3950001,4000000,0,0,0,0,0,0,0,0
4000001,4050000,11,16,14,15,14,22,5,14
4050001,4100000,4,5,2,6,5,3,1,3
4100001,4150000,17,22,14,25,26,23,4,24
4150001,4200000,5,6,1,1,1,3,0,1
4200001,4250000,0,0,0,0,0,0,0,0
4250001,4300000,7,5,4,5,5,6,0,8
4300001,4350000,2,1,6,1,3,1,4,1
4350001,4400000,8,19,10,19,28,21,5,18
4400001,4450000,3,2,0,2,2,2,0,3
4450001,4500000,1,6,2,1,3,1,1,0
4500001,4550000,2,1,0,0,0,0,0,0
4550001,4600000,5,5,7,9,4,1,2,12
4600001,4650000,0,0,0,0,0,0,0,0
4650001,4700000,7,4,2,9,11,10,2,5
4700001,4750000,5,6,8,8,4,9,8,5
4750001,4800000,2,1,0,2,2,1,1,1
4800001,4850000,1,0,0,0,0,0,0,0
4850001,4900000,0,0,0,0,0,0,0,0
4900001,4950000,0,0,0,0,0,0,0,0
4950001,5000000,2,4,6,6,5,7,1,6
5000001,5050000,2,3,2,1,2,2,3,0
5050001,5100000,0,0,0,0,0,0,0,0
5100001,5150000,0,0,0,0,0,0,0,0
5150001,5200000,0,0,0,0,0,0,0,0
5200001,5250000,4,6,3,2,4,4,0,2
5250001,5300000,0,0,0,0,2,0,0,0
5300001,5350000,0,0,0,0,0,0,0,0
5350001,5400000,4,4,3,2,2,1,0,2
5400001,5450000,2,3,2,7,6,3,3,3
5450001,5500000,4,6,5,6,6,5,1,6
5500001,5550000,1,3,1,1,1,2,0,1
5550001,5600000,6,3,5,10,10,9,0,7
5600001,5650000,1,4,2,4,1,3,0,2
5650001,5700000,2,2,3,4,4,4,1,4
5700001,5750000,2,2,3,4,5,3,2,5
5750001,5800000,3,5,3,5,5,7,1,3
5800001,5850000,0,0,0,0,0,0,0,0
5850001,5900000,0,0,0,0,0,0,0,0
5900001,5950000,0,0,0,0,0,0,0,0
5950001,6000000,1,3,0,1,0,1,0,2
6000001,6050000,2,2,1,2,2,1,0,2
6050001,6100000,0,0,0,0,0,0,0,0
6100001,6150000,0,0,0,0,0,0,0,0
6150001,6200000,0,0,0,0,0,0,0,0
6200001,6250000,0,0,0,0,0,0,0,0
6250001,6300000,0,0,0,0,0,0,0,0
6300001,6350000,0,0,0,0,0,0,0,0
6350001,6400000,0,2,0,2,4,4,2,4
6400001,6450000,3,3,2,1,2,2,1,3
6450001,6500000,5,5,5,8,8,6,2,4
6500001,6550000,0,0,0,0,0,0,0,0
6550001,6600000,2,2,3,2,5,2,1,1
6600001,6650000,0,0,0,0,0,0,0,0
6650001,6700000,3,4,4,5,4,5,0,5
6700001,6750000,5,4,3,7,7,8,8,6
6750001,6800000,1,1,3,5,5,2,1,4
6800001,6850000,4,7,2,3,3,3,5,1
6850001,6900000,1,1,1,4,4,4,3,4
6900001,6950000,0,0,0,0,0,0,0,0
6950001,7000000,0,0,0,0,0,0,0,0
7000001,7050000,0,0,0,0,0,0,0,0
7050001,7100000,0,0,0,0,0,0,0,0
7100001,7150000,0,0,0,0,0,0,0,0
7150001,7200000,0,0,0,0,0,0,0,0
7200001,7250000,0,0,0,0,0,0,0,0
7250001,7300000,0,0,0,0,0,0,0,0
7300001,7350000,0,0,0,0,0,0,0,0
7350001,7400000,0,0,0,0,0,0,0,0
7400001,7450000,0,0,0,0,0,0,0,0
7450001,7500000,0,0,0,0,0,0,0,0
7500001,7550000,0,0,0,0,0,0,0,0
7550001,7600000,0,0,0,0,0,0,0,0
7600001,7650000,0,0,0,0,0,0,0,0
7650001,7700000,0,1,1,2,1,0,0,1
7700001,7750000,0,0,0,0,0,0,0,1
7750001,7800000,0,0,0,0,0,0,0,0
7800001,7850000,0,0,0,0,0,0,0,0
7850001,7900000,0,0,0,0,0,0,0,0
7900001,7950000,0,0,0,0,0,0,0,0
7950001,8000000,0,0,0,0,0,0,0,0
8000001,8050000,0,0,0,0,0,0,0,0
8050001,8100000,0,0,0,0,0,0,0,0
8100001,8150000,0,0,0,0,0,0,0,0
8150001,8200000,0,0,0,0,0,0,0,0
8200001,8250000,0,0,0,0,0,0,0,0
8250001,8300000,0,0,0,0,0,0,0,0
8300001,8350000,0,0,0,0,0,0,0,0
8350001,8400000,0,0,0,0,0,0,0,0
8400001,8450000,0,0,0,0,0,0,0,0
8450001,8500000,0,0,0,0,0,0,0,0
8500001,8550000,0,0,0,0,0,0,0,0
8550001,8600000,0,0,0,0,0,0,0,0
8600001,8650000,0,0,0,0,0,0,0,0
8650001,8700000,0,0,0,0,0,0,0,0
8700001,8750000,0,0,0,0,0,0,0,0
8750001,8800000,0,0,0,0,0,0,0,0
8800001,8850000,0,0,0,0,0,0,0,0
8850001,8900000,7,6,15,11,8,8,5,5
8900001,8950000,2,2,2,1,3,4,6,3
8950001,9000000,2,2,1,1,1,1,1,3
9000001,9050000,1,1,0,0,0,0,0,0
9050001,9100000,0,0,0,1,1,1,0,0
9100001,9150000,4,1,2,3,1,2,1,4
9150001,9200000,0,0,0,1,1,0,0,0
9200001,9250000,3,0,0,2,4,2,1,1
9250001,9300000,0,0,0,0,0,0,0,0
9300001,9350000,2,2,0,0,0,1,0,0
9350001,9400000,0,0,0,0,0,0,0,0
9400001,9450000,0,0,2,0,0,0,2,0
9450001,9500000,0,0,0,0,0,0,0,0
9500001,9550000,0,0,0,0,0,0,0,0
9550001,9600000,3,3,5,6,5,5,6,7
9600001,9650000,3,0,1,1,2,3,0,1
9650001,9700000,2,3,4,3,3,5,5,9
9700001,9750000,0,0,0,0,0,0,1,0
9750001,9800000,0,0,0,0,0,0,0,0
9800001,9850000,0,0,0,0,0,0,0,0
9850001,9900000,0,0,0,0,0,0,0,0
9900001,9950000,0,0,0,0,0,0,0,0
9950001,10000000,0,0,0,0,0,0,0,0
10000001,10050000,0,0,0,0,0,0,0,0
10050001,10100000,0,0,0,0,0,0,0,0
10100001,10150000,0,0,0,0,0,0,0,0
10150001,10200000,0,0,0,0,0,0,0,0
10200001,10250000,0,0,0,0,0,0,0,0
10250001,10300000,0,0,0,0,0,0,0,0
10300001,10350000,0,0,0,0,0,0,0,0
10350001,10400000,0,0,0,0,0,0,0,0
10400001,10450000,0,0,0,0,0,0,0,0
10450001,10500000,0,0,0,0,0,0,0,0
10500001,10550000,0,0,0,0,0,0,0,0
10550001,10600000,0,0,0,0,0,0,0,0
10600001,10650000,0,0,0,0,0,0,0,0
10650001,10700000,0,0,0,0,0,0,0,0
10700001,10750000,0,0,0,0,0,0,0,0
10750001,10800000,0,0,0,0,0,0,0,0
10800001,10850000,1,0,2,3,3,3,3,1
10850001,10900000,1,2,3,1,1,2,6,2
10900001,10950000,1,1,1,1,2,0,1,1
10950001,11000000,0,0,0,1,0,0,1,1
11000001,11050000,0,0,2,1,1,1,1,2
11050001,11100000,0,1,1,1,1,1,0,0
11100001,11150000,0,0,0,0,0,0,0,0
11150001,11200000,0,0,0,0,0,0,0,0
11200001,11250000,0,0,0,0,0,0,0,0
11250001,11300000,0,0,0,0,0,0,0,0
11300001,11350000,0,0,0,0,0,0,0,0
11350001,11400000,2,3,0,1,2,2,2,2
11400001,11450000,0,0,0,0,0,0,0,0
11450001,11500000,2,2,0,1,1,1,2,1
11500001,11550000,0,0,0,0,0,0,0,0
11550001,11600000,0,0,0,0,0,0,0,0
11600001,11650000,0,0,0,0,0,0,0,0
11650001,11700000,0,0,0,0,0,0,0,0
11700001,11750000,0,0,0,0,0,0,0,0
11750001,11800000,0,0,0,0,0,0,0,0
11800001,11850000,0,0,0,0,0,0,0,0
11850001,11900000,0,0,0,0,0,0,0,0
11900001,11950000,1,0,0,0,0,0,0,0
11950001,12000000,2,2,2,3,1,3,0,4
12000001,12050000,1,0,1,0,0,1,0,0
12050001,12100000,4,3,4,4,2,2,2,2
12100001,12150000,0,0,0,0,0,0,0,0
12150001,12200000,1,0,2,4,4,3,4,2
12200001,12250000,1,0,3,3,2,1,3,1
12250001,12300000,3,0,0,2,0,0,1,3
12300001,12350000,1,1,1,1,1,0,0,3
12350001,12400000,3,1,2,1,1,1,1,2
12400001,12450000,1,1,1,5,4,3,3,1
12450001,12500000,0,0,0,0,1,1,0,1
12500001,12550000,0,0,0,1,1,1,0,0
12550001,12600000,0,0,0,0,0,0,0,0
12600001,12650000,1,2,0,2,1,2,0,3
12650001,12700000,2,1,2,1,1,1,0,0
12700001,12750000,1,1,0,0,0,0,1,2
12750001,12800000,3,3,3,5,5,2,0,4
12800001,12850000,0,0,1,0,0,0,2,0
12850001,12900000,0,0,0,0,0,0,0,0
12900001,12950000,0,0,0,0,0,0,0,0
12950001,13000000,0,0,0,0,0,0,0,0
13000001,13050000,0,0,1,0,0,0,0,0
13050001,13100000,6,3,2,4,4,4,0,2
13100001,13150000,0,0,0,0,0,0,0,0
13150001,13200000,0,0,0,0,0,1,0,0
13200001,13250000,0,0,0,0,0,0,0,0
13250001,13300000,0,0,0,0,0,0,0,0
13300001,13350000,0,0,0,0,0,0,0,0
13350001,13400000,0,0,1,0,0,0,0,1
13400001,13450000,0,0,0,0,0,0,0,1
13450001,13500000,1,0,2,0,0,1,0,2
13500001,13550000,0,0,0,5,1,1,0,1
13550001,13600000,3,2,1,1,1,4,3,1
13600001,13650000,0,0,0,0,0,0,0,0
13650001,13700000,1,1,1,1,1,1,1,1
13700001,13750000,2,2,2,1,2,3,2,1
13750001,13800000,1,3,0,0,1,0,0,0
13800001,13850000,0,0,0,0,0,0,0,0
13850001,13900000,0,0,0,2,2,1,1,1
13900001,13950000,0,0,0,0,0,0,0,0
13950001,14000000,0,0,0,0,0,0,0,0
14000001,14050000,2,5,11,6,7,6,4,7
14050001,14100000,1,4,5,7,5,5,6,2
14100001,14150000,0,0,0,1,1,1,0,1
14150001,14200000,6,5,1,6,3,5,2,5
14200001,14250000,0,0,0,0,0,0,0,1
14250001,14300000,0,0,0,0,0,0,0,0
14300001,14350000,0,0,0,0,0,0,0,0
14350001,14400000,1,2,0,0,0,0,2,0
14400001,14450000,0,0,0,0,0,0,0,0
14450001,14500000,0,0,0,0,0,0,0,0
14500001,14550000,0,0,0,0,0,0,0,0
14550001,14600000,4,3,0,2,2,2,2,2
14600001,14650000,5,5,4,6,7,4,0,4
14650001,14700000,0,0,0,0,0,0,0,0
14700001,14750000,0,2,0,0,0,0,0,1
14750001,14800000,3,1,2,2,2,0,1,1
14800001,14850000,2,4,1,3,2,3,3,1
14850001,14900000,14,13,13,14,12,23,13,10
14900001,14950000,2,1,0,4,3,4,4,3
14950001,15000000,2,1,2,6,4,3,3,1
15000001,15050000,0,0,0,0,0,0,0,0
15050001,15100000,0,0,0,0,0,0,0,0
15100001,15150000,5,3,1,2,1,2,2,2
15150001,15200000,0,0,0,0,0,0,0,0
15200001,15250000,1,2,2,5,3,3,2,2
15250001,15300000,2,2,5,4,7,0,2,2
15300001,15350000,2,3,1,3,3,3,2,3
15350001,15400000,2,4,4,2,2,4,4,5
15400001,15450000,2,4,1,6,5,6,5,4
15450001,15500000,0,0,0,0,0,0,0,1
15500001,15550000,0,0,0,0,0,0,0,0
15550001,15600000,0,0,0,0,0,0,0,0
15600001,15650000,0,0,0,0,0,0,0,0
15650001,15700000,0,0,0,0,0,0,0,0
15700001,15750000,0,0,0,0,0,0,0,0
15750001,15800000,3,2,4,1,2,3,6,1
15800001,15850000,2,0,0,0,0,0,0,0
15850001,15900000,3,1,0,4,5,5,5,3
15900001,15950000,11,17,8,4,0,6,4,11
15950001,16000000,0,5,0,0,0,2,0,0
16000001,16050000,0,1,1,0,0,0,0,0
16050001,16100000,0,2,0,0,0,0,0,0
16100001,16150000,0,0,0,0,0,0,0,0
16150001,16200000,2,1,2,1,1,1,2,3
16200001,16250000,2,2,2,3,2,3,4,3
16250001,16300000,0,0,0,0,0,0,0,0
16300001,16350000,0,0,0,0,0,0,0,0
16350001,16400000,0,0,0,0,0,0,0,0
16400001,16450000,4,3,0,5,7,6,6,4
16450001,16500000,1,2,1,1,0,1,1,1
16500001,16550000,0,0,0,0,0,0,0,0
16550001,16600000,0,0,0,0,0,0,0,0
16600001,16650000,0,0,0,0,0,0,0,0
16650001,16700000,0,0,0,0,0,0,0,0
16700001,16750000,0,0,0,0,0,0,0,0
16750001,16800000,0,0,0,0,0,0,0,0
16800001,16850000,0,0,0,0,0,0,0,0
16850001,16900000,0,0,0,0,0,0,0,0
16900001,16950000,0,0,0,0,0,0,0,0
16950001,17000000,0,0,0,0,0,0,0,0
17000001,17050000,0,0,0,0,0,0,0,0
17050001,17100000,0,0,0,0,0,0,0,0
17100001,17150000,0,0,0,0,0,0,0,0
17150001,17200000,0,0,0,0,0,0,0,0
17200001,17250000,0,0,0,0,0,1,1,0
17250001,17300000,0,0,0,0,0,0,0,0
17300001,17350000,0,0,0,0,0,0,0,0
17350001,17400000,0,0,0,0,0,0,0,0
17400001,17450000,0,0,0,0,0,0,0,0
17450001,17500000,0,0,0,0,0,0,0,0
17500001,17550000,0,0,0,0,0,0,0,0
17550001,17600000,0,0,0,0,0,0,0,0
17600001,17650000,0,0,0,0,0,0,0,0
17650001,17700000,4,4,1,4,3,4,3,1
17700001,17750000,0,0,0,0,0,0,0,1
17750001,17800000,0,0,0,0,0,0,0,0
17800001,17850000,0,0,0,0,0,0,0,0
17850001,17900000,0,0,0,0,0,0,0,0
17900001,17950000,0,0,0,0,0,0,0,0
17950001,18000000,0,0,0,0,0,0,0,0
18000001,18050000,0,0,0,0,0,0,0,0
18050001,18100000,2,2,1,5,4,3,3,6
18100001,18150000,4,3,2,2,1,1,1,2
18150001,18200000,0,0,0,0,0,0,0,0
18200001,18250000,0,0,0,0,0,0,0,0
18250001,18300000,0,0,0,0,0,0,0,0
18300001,18350000,1,4,0,2,4,3,3,3
18350001,18400000,0,0,0,0,0,0,0,0
18400001,18450000,0,0,0,1,0,1,0,0
18450001,18500000,0,0,0,0,0,0,0,0
18500001,18550000,4,6,3,5,4,5,1,2
18550001,18600000,4,2,6,5,4,2,1,3
18600001,18650000,0,0,0,1,0,0,0,0
18650001,18700000,1,0,0,0,0,0,0,0
18700001,18750000,9,13,5,15,15,10,11,11
18750001,18800000,0,0,0,0,0,0,0,0
18800001,18850000,5,7,5,8,3,2,2,7
18850001,18900000,6,10,5,4,2,5,6,5
18900001,18950000,0,1,0,0,0,0,1,1
18950001,19000000,0,1,0,0,1,0,0,0
19000001,19050000,2,4,4,9,7,8,4,5
19050001,19100000,0,2,0,0,0,1,1,1
19100001,19150000,1,0,0,0,0,0,0,0
19150001,19200000,1,1,0,2,2,2,1,0
19200001,19250000,3,3,3,2,3,2,1,7
19250001,19300000,0,0,0,0,0,0,0,0
19300001,19350000,0,0,0,0,0,0,0,0
19350001,19400000,0,1,0,0,0,0,0,0
19400001,19450000,0,0,0,0,0,0,0,0
19450001,19500000,0,0,0,0,0,0,0,0
19500001,19550000,0,1,0,0,0,0,0,0
19550001,19600000,12,18,9,13,9,10,2,6
19600001,19650000,3,5,1,4,5,5,1,3
19650001,19700000,1,0,0,0,0,0,1,1
19700001,19750000,7,4,2,5,3,5,2,6
19750001,19800000,0,0,0,0,0,0,0,0
19800001,19850000,0,0,1,0,0,0,0,0
19850001,19900000,3,3,2,4,4,3,2,2
19900001,19950000,1,2,0,2,2,1,0,1
19950001,20000000,0,1,2,1,0,0,0,0
20000001,20050000,1,1,0,0,1,1,1,3
20050001,20100000,0,0,0,0,0,0,0,0
20100001,20150000,0,0,0,0,0,0,0,0
20150001,20200000,0,0,0,0,0,0,0,0
20200001,20250000,2,1,4,1,3,4,1,4
20250001,20300000,3,2,2,3,2,4,1,2
20300001,20350000,0,0,0,0,0,0,0,2
20350001,20400000,0,0,0,0,0,0,0,0
20400001,20450000,0,0,0,0,0,0,0,0
20450001,20500000,0,0,1,0,0,0,0,0
20500001,20550000,0,0,0,0,0,0,0,0
20550001,20600000,0,0,0,0,0,0,0,0
20600001,20650000,0,0,0,0,0,0,0,0
20650001,20700000,0,0,0,0,0,0,0,0
20700001,20750000,0,0,1,0,0,1,0,0
20750001,20800000,0,0,0,0,0,0,0,0
20800001,20850000,0,0,0,0,0,0,0,0
20850001,20900000,0,0,0,0,0,0,0,0
20900001,20950000,0,0,1,0,0,0,0,0
20950001,21000000,0,0,0,0,0,0,0,0
21000001,21050000,1,1,0,0,1,1,0,0
21050001,21100000,0,0,0,0,0,0,0,0
21100001,21150000,2,3,2,2,1,3,3,4
21150001,21200000,0,0,0,0,0,2,2,1
21200001,21250000,0,0,0,0,0,0,0,0
21250001,21300000,0,0,0,0,0,0,0,0
21300001,21350000,0,0,0,2,0,0,0,0
21350001,21400000,2,2,3,0,1,2,2,4
21400001,21450000,0,0,0,0,0,0,0,0
21450001,21500000,2,4,1,1,1,1,1,3
21500001,21550000,2,4,0,3,2,1,1,3
21550001,21600000,0,0,0,0,0,0,0,0
21600001,21650000,0,0,0,0,0,0,0,0
21650001,21700000,0,0,0,0,0,0,0,0
21700001,21750000,1,1,1,1,1,1,1,2
21750001,21800000,0,0,0,0,0,0,0,1
21800001,21850000,0,1,0,0,1,1,1,1
21850001,21900000,0,1,1,1,0,1,2,0
21900001,21950000,8,6,0,4,1,0,0,3
21950001,22000000,0,6,3,1,2,3,1,2
22000001,22050000,1,1,1,4,1,2,2,1
22050001,22100000,0,2,0,1,1,0,0,0
22100001,22150000,2,1,0,0,0,0,0,1
22150001,22200000,0,0,0,0,0,0,0,0
22200001,22250000,0,0,0,0,0,0,0,0
22250001,22300000,0,0,0,0,0,0,0,0
22300001,22350000,0,0,0,0,0,0,0,0
22350001,22400000,1,1,1,1,1,1,1,2
22400001,22450000,2,3,1,2,2,2,3,4
22450001,22500000,1,2,0,1,1,2,1,1
22500001,22550000,0,0,0,0,0,1,0,0
22550001,22600000,1,0,1,2,2,0,0,2
22600001,22650000,1,1,0,0,0,1,0,1
22650001,22700000,1,0,0,1,1,1,1,4
22700001,22750000,3,2,4,2,2,0,4,2
22750001,22800000,3,1,1,1,1,1,1,3
22800001,22850000,2,3,3,3,3,3,2,1
22850001,22900000,0,0,1,1,1,0,0,1
22900001,22950000,0,0,0,0,0,0,0,0
22950001,23000000,6,7,2,5,9,6,5,4
23000001,23050000,4,4,1,5,4,2,3,4
23050001,23100000,0,0,1,1,2,1,1,1
23100001,23150000,0,0,0,0,0,0,0,0
23150001,23200000,0,0,0,0,0,0,0,0
23200001,23250000,0,0,0,1,2,0,2,0
23250001,23300000,0,1,0,1,1,0,1,1
23300001,23350000,1,2,1,2,2,3,4,2
23350001,23400000,0,0,0,0,0,0,0,0
23400001,23450000,0,0,1,1,1,0,0,0
23450001,23500000,0,0,0,0,0,0,0,0
23500001,23550000,0,0,0,0,0,0,0,0
23550001,23600000,0,0,0,0,0,0,0,0
23600001,23650000,1,1,2,3,2,1,5,1
23650001,23700000,0,0,0,0,0,0,0,0
23700001,23750000,0,0,0,0,0,0,0,0
23750001,23800000,0,0,0,0,0,0,0,0
23800001,23850000,0,0,0,0,0,0,0,0
23850001,23900000,0,0,0,0,0,0,0,0
23900001,23950000,0,1,0,1,1,1,1,1
23950001,24000000,0,0,0,0,0,0,0,0
24000001,24050000,0,0,0,0,0,0,0,0
24050001,24100000,0,0,0,0,0,0,0,0
24100001,24150000,0,0,0,0,0,0,0,0
24150001,24200000,0,1,0,0,0,0,0,0
24200001,24250000,1,1,3,2,2,3,1,2
24250001,24300000,0,0,0,0,0,0,0,0
24300001,24350000,2,1,2,2,2,2,2,2
24350001,24400000,0,0,0,0,0,0,0,0
24400001,24450000,2,1,1,3,4,5,5,3
24450001,24500000,7,9,6,9,7,6,3,7
24500001,24550000,0,2,2,1,1,2,3,2
24550001,24600000,0,0,0,1,1,0,1,1
24600001,24650000,1,0,1,1,1,1,0,0
24650001,24700000,0,0,0,0,0,0,0,0
24700001,24750000,1,1,0,1,1,1,1,0
24750001,24800000,0,0,0,0,0,0,0,0
24800001,24850000,0,0,0,0,0,0,0,0
24850001,24900000,0,0,0,0,0,0,0,0
24900001,24950000,0,0,0,0,0,0,0,0
24950001,25000000,0,0,0,0,0,0,0,0
25000001,25050000,0,0,0,0,0,0,0,0
25050001,25100000,3,3,1,7,4,2,3,4
25100001,25150000,1,2,1,1,1,1,3,0
25150001,25200000,0,3,1,0,1,1,0,1
25200001,25250000,2,0,2,5,5,4,5,2
25250001,25300000,1,2,0,0,1,0,0,1
25300001,25350000,0,0,0,0,0,0,0,0
25350001,25400000,0,0,1,0,0,0,0,0
25400001,25450000,0,0,0,0,0,0,0,0
25450001,25500000,1,1,1,1,1,1,1,1
25500001,25550000,0,0,0,0,0,0,0,0
25550001,25600000,0,0,0,0,0,0,0,0
25600001,25650000,0,0,0,0,0,0,0,0
25650001,25700000,0,0,0,0,0,0,0,0
25700001,25750000,0,0,0,0,0,0,0,0
25750001,25800000,1,0,1,0,0,0,0,0
25800001,25850000,0,0,0,0,0,0,0,0
25850001,25900000,0,0,0,0,0,0,0,0
25900001,25950000,1,1,2,1,1,1,1,1
25950001,26000000,4,8,5,2,2,4,3,5
26000001,26050000,1,1,0,0,0,0,0,2
26050001,26100000,1,0,0,0,0,0,0,0
26100001,26150000,2,2,2,0,0,0,0,1
26150001,26200000,0,0,0,0,0,0,2,1
26200001,26250000,0,0,0,0,0,0,0,0
26250001,26300000,0,0,0,0,0,0,0,0
26300001,26350000,0,0,0,0,0,0,0,0
26350001,26400000,2,2,2,5,4,4,3,3
26400001,26450000,2,3,1,2,2,2,3,5
26450001,26500000,1,1,1,2,2,1,1,5
26500001,26550000,0,0,0,0,0,0,0,0
26550001,26600000,0,0,0,0,0,0,0,0
26600001,26650000,0,0,0,0,0,0,0,0
26650001,26700000,0,0,0,0,1,0,0,0
26700001,26750000,5,5,3,2,4,4,3,2
26750001,26800000,4,2,1,5,4,5,4,4
26800001,26850000,1,2,2,1,1,1,1,1
26850001,26900000,0,0,0,0,0,0,0,0
26900001,26950000,0,0,0,0,0,0,0,0
26950001,27000000,1,2,0,5,5,3,3,2
27000001,27050000,4,3,2,2,2,3,2,4
27050001,27100000,4,3,1,5,2,4,3,4
27100001,27150000,0,0,0,1,0,0,0,0
27150001,27200000,2,1,3,2,1,2,1,1
27200001,27250000,0,2,0,1,1,0,0,1
27250001,27300000,1,1,1,1,1,1,1,1
27300001,27350000,1,0,0,0,0,0,0,0
27350001,27400000,0,0,0,0,0,0,0,0
27400001,27450000,0,0,0,0,0,0,0,0
27450001,27500000,0,0,0,0,0,0,0,0
27500001,27550000,5,2,0,3,3,3,4,3
27550001,27600000,0,0,0,0,0,0,0,0
27600001,27650000,0,0,1,0,0,0,0,0
27650001,27700000,0,0,0,0,0,0,0,0
27700001,27750000,1,0,0,3,2,2,3,0
27750001,27800000,0,0,0,0,0,0,0,0
27800001,27850000,0,0,0,0,0,0,0,0
27850001,27900000,2,2,2,2,2,3,3,2
27900001,27950000,0,1,0,2,1,0,0,0
27950001,28000000,5,8,2,6,5,3,7,5
28000001,28050000,2,1,1,0,0,0,0,2
28050001,28100000,0,0,0,0,0,0,0,0
28100001,28150000,0,0,0,0,0,0,0,0
28150001,28200000,2,1,2,2,2,1,1,1
28200001,28250000,0,0,0,0,0,0,0,0
28250001,28300000,0,0,0,0,0,0,0,0
28300001,28350000,0,0,0,0,0,0,0,0
28350001,28400000,1,2,0,2,2,2,1,2
28400001,28450000,6,3,0,3,3,1,3,1
28450001,28500000,0,0,0,0,0,0,0,0
28500001,28550000,0,0,0,0,0,0,0,0
28550001,28600000,0,1,0,0,1,1,0,0
28600001,28650000,5,5,3,5,4,3,1,2
28650001,28700000,0,0,0,1,1,0,0,2
28700001,28750000,0,0,0,0,0,0,0,0
28750001,28800000,0,0,0,0,0,0,0,0
28800001,28850000,9,6,6,20,21,15,12,13
28850001,28900000,2,0,0,1,1,0,0,1
28900001,28950000,2,0,2,0,1,3,0,2
28950001,29000000,6,8,4,7,11,8,6,10
29000001,29050000,0,0,0,0,0,0,0,0
29050001,29100000,0,0,1,3,1,1,2,3
